incoming,interp_24,interp_96,interp_192,interp_384
24,0.7618,0.0263,0.7618,0.2382
48,0.2763,0.2618,0.0263,0.1752
96,0.2618,0.0263,0.0263,0.0263
192,0.1368,0.0263,0.0263,0.0738
